"STUDY_ID","REALM","CLIMATE","TAXA","TITLE","AB_BIO","DATA_POINTS","START_YEAR","END_YEAR","NUMBER_OF_SPECIES","NUMBER_OF_SAMPLES","NUMBER_LAT_LONG","TOTAL","ABUNDANCE_TYPE","BIOMASS_TYPE"
498,"Terrestrial","Temperate","Terrestrial plants","ITEX Dataset 20 - Torngats (Nakvakdry, Nakvakwet)","B",3,2007,2010,51,80,1,913,NA,"Cover"
499,"Marine","Temperate","Marine invertebrates","Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea between 1979 and 1999","A",20,1979,1999,212,141,9,2619,"Density",NA
500,"Marine","Temperate","Marine invertebrates","Macrobenthos monitoring at long-term monitoring stations in the Belgian part of the North Sea from 2001 on","A",12,2001,2012,442,362,24,8700,"Density",NA
501,"Marine","Temperate","Marine invertebrates","Epibenthos and demersal fish monitoring at long-term monitoring stations in the Belgian part of the North Sea","A",9,2004,2012,165,205,14,6259,"Count",NA
502,"Terrestrial","Temperate","Terrestrial plants","Long-term tree demography in old-growth forests of Huron Mts, MI from permanent-plot censuses, 1962-2009","AB",7,1962,2009,12,6042,1,6042,"Count","Size"
503,"Marine","Tropical","Marine invertebrates","Coral data from Lizard Island","A",2,2015,2016,114,2,1,156,"Count",NA
504,"Marine","Temperate","Fish","Red Sea artificial reefs","A",5,2003,2007,67,153,1,858,"Count",NA
505,"Marine","Temperate","All","Fish and marine invertebrates from the Israeli Eastern Mediterranean sea  1990-4, 2000, 2008-2012","A",11,1990,2012,275,694,21,13941,"Count",NA
507,"Marine","Temperate","Fish","Trawl fisheries in Israeli Mediterranean","B",28,1976,2010,41,7068,1194,16721,NA,"Weight"
508,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 21 - Sadvent (MES-Pointframe, Wet-Pointframe)","B",2,2003,2005,52,40,1,457,NA,"Cover"
509,"Terrestrial","Polar","Terrestrial plants","ITEX Dataset 22 - Toolik (Imnavait, Tussockgrid)","B",8,1989,2008,218,624,2,13374,NA,"Cover"
510,"Terrestrial","Temperate","Terrestrial invertebrates","Butterfly fauna in Mount Gariwang-san Korea","A",7,1987,2015,105,55,1,548,"Count",NA
511,"Marine","Tropical","Fish","Demersal fish hauls from Guanabara Bay Brazil 2005-2015","AB",6,2005,2015,105,28,7,2928,"Count","Weight"
512,"Terrestrial","Temperate","Terrestrial plants","The Hundt 2001 data - Rudolf Hundt","B",4,1964,1994,231,62,18,1133,NA,"Cover"
515,"Terrestrial","Tropical","Mammals","Assemblage-level responses of phyllostomid bats to tropical forest fragmentation","A",3,2003,2005,43,452,17,1585,"MeanCount",NA
516,"Terrestrial","Tropical","Mammals","A large-scale fragmentation experiment for Neotropical bats","A",5,1997,2013,45,225,12,1380,"Count",NA
528,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",31,1984,2018,41,140,1,1119,"Count",NA
529,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",28,1985,2018,40,132,1,1058,"Count",NA
530,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",33,1982,2018,38,202,1,1257,"Count",NA
531,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",28,1987,2018,40,131,1,1033,"Count",NA
532,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",33,1982,2018,41,183,1,1354,"Count",NA
533,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",31,1984,2018,36,141,1,1048,"Count",NA
534,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",33,1982,2018,34,180,1,1242,"Count",NA
535,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",17,2002,2018,46,68,1,835,"Count",NA
536,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",20,1982,2018,43,95,1,837,"Count",NA
537,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",17,2002,2018,45,68,1,824,"Count",NA
538,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",21,1982,2018,44,95,1,946,"Count",NA
539,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",17,2002,2018,43,68,1,783,"Count",NA
540,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",20,1982,2018,41,96,1,880,"Count",NA
541,"Terrestrial","Temperate","Terrestrial invertebrates","Beetles from the Bavarian Forest unlogged","A",4,2008,2011,145,88,22,2371,"Count",NA
542,"Terrestrial","Temperate","Birds","Birds from the Bavarian Forest unlogged","A",3,2010,2014,42,63,21,355,"Count",NA
543,"Terrestrial","Temperate","Fungi","Fungi from the Bavarian Forest unlogged","A",5,2007,2011,74,95,19,870,"Count",NA
544,"Terrestrial","Temperate","Fungi","Lichens (obj) from the Bavarian Forest unlogged","A",5,2007,2011,25,95,19,807,"Count",NA
545,"Terrestrial","Temperate","Fungi","Lichens (soil) from the Bavarian Forest unlogged","A",5,2007,2011,7,22,10,35,"Count",NA
546,"Terrestrial","Temperate","Terrestrial plants","Mosses (obj) from the Bavarian Forest unlogged","A",5,2007,2011,23,95,19,565,"Count",NA
547,"Terrestrial","Temperate","Terrestrial plants","Mosses (soil) from the Bavarian Forest unlogged","A",5,2007,2011,32,125,25,690,"Count",NA
548,"Terrestrial","Temperate","Terrestrial plants","Plants from the Bavarian Forest unlogged","B",6,2007,2012,35,130,22,687,"Count",NA
